,Run,Strategy,Correct,Position,Exec_Time,Num_Iterations,Regret_Loss,True_rank,Obtained_rank
0,0,thompson,False,2,0.052826642990112305,2000,161.99410981479173,"[{'arm_16': np.float64(0.9893887599180159), 'arm_3': np.float64(0.9870282189134536), 'arm_15': np.float64(0.8820800673398022), 'arm_11': np.float64(0.8334422396607358), 'arm_12': np.float64(0.8135626039134627), 'arm_4': np.float64(0.7958092548547575), 'arm_13': np.float64(0.7799603883105245), 'arm_9': np.float64(0.7337259615919973), 'arm_6': np.float64(0.7117817566422624), 'arm_14': np.float64(0.5676964368523122), 'arm_7': np.float64(0.516270493717723), 'arm_17': np.float64(0.4762473959678345), 'arm_5': np.float64(0.4222947638810891), 'arm_8': np.float64(0.3898204508528599), 'arm_0': np.float64(0.3395867254348953), 'arm_18': np.float64(0.316851401593655), 'arm_19': np.float64(0.2641162545794098), 'arm_10': np.float64(0.16368124050664024), 'arm_2': np.float64(0.12361296472194883), 'arm_1': np.float64(0.12309209869491189)}]","[{'arm_3': np.float64(0.5597826086956522), 'arm_16': np.float64(0.5174825174825175), 'arm_6': np.float64(0.4921259842519685), 'arm_15': np.float64(0.46511627906976744), 'arm_4': np.float64(0.463768115942029), 'arm_7': np.float64(0.4430379746835443), 'arm_12': np.float64(0.4424778761061947), 'arm_11': np.float64(0.43333333333333335), 'arm_13': np.float64(0.41304347826086957), 'arm_14': np.float64(0.38333333333333336), 'arm_5': np.float64(0.3728813559322034), 'arm_9': np.float64(0.36585365853658536), 'arm_17': np.float64(0.35714285714285715), 'arm_18': np.float64(0.3181818181818182), 'arm_0': np.float64(0.3055555555555556), 'arm_19': np.float64(0.25), 'arm_10': np.float64(0.2), 'arm_2': np.float64(0.1111111111111111), 'arm_1': np.float64(0.1), 'arm_8': np.float64(0.09090909090909091)}]"
1,1,thompson,True,1,0.10399889945983887,2000,211.70501528524483,"[{'arm_9': np.float64(0.8765356603507544), 'arm_18': np.float64(0.8259615892195729), 'arm_1': np.float64(0.764989555624623), 'arm_0': np.float64(0.7307186762022716), 'arm_13': np.float64(0.7007474108590724), 'arm_11': np.float64(0.6883046060888023), 'arm_19': np.float64(0.6726252190686788), 'arm_3': np.float64(0.5933639468560948), 'arm_5': np.float64(0.5661846489820532), 'arm_15': np.float64(0.522601072021487), 'arm_7': np.float64(0.46215192610347555), 'arm_8': np.float64(0.35002225004997534), 'arm_17': np.float64(0.3138595363755097), 'arm_12': np.float64(0.28823884745933603), 'arm_16': np.float64(0.24615196605109735), 'arm_14': np.float64(0.23585607695968747), 'arm_2': np.float64(0.14859936878784774), 'arm_6': np.float64(0.14674622533143156), 'arm_4': np.float64(0.09011693635374263), 'arm_10': np.float64(0.030184237712427175)}]","[{'arm_9': np.float64(0.5405405405405406), 'arm_18': np.float64(0.5398420674802584), 'arm_3': np.float64(0.4918918918918919), 'arm_13': np.float64(0.4838709677419355), 'arm_1': np.float64(0.4833948339483395), 'arm_19': np.float64(0.45695364238410596), 'arm_7': np.float64(0.4413793103448276), 'arm_15': np.float64(0.43137254901960786), 'arm_5': np.float64(0.4), 'arm_0': np.float64(0.37142857142857144), 'arm_11': np.float64(0.34782608695652173), 'arm_16': np.float64(0.34375), 'arm_17': np.float64(0.3157894736842105), 'arm_12': np.float64(0.2727272727272727), 'arm_8': np.float64(0.2727272727272727), 'arm_4': np.float64(0.23076923076923078), 'arm_2': np.float64(0.21052631578947367), 'arm_14': np.float64(0.21052631578947367), 'arm_6': np.float64(0.16666666666666666), 'arm_10': np.float64(0.1111111111111111)}]"
2,2,thompson,False,2,0.05368304252624512,2000,130.8035419072703,"[{'arm_6': np.float64(0.9300653989480219), 'arm_3': np.float64(0.9258153501406353), 'arm_9': np.float64(0.8563259654101588), 'arm_4': np.float64(0.8539822230967031), 'arm_18': np.float64(0.8110466414942753), 'arm_0': np.float64(0.7872992944031385), 'arm_8': np.float64(0.7414052801955634), 'arm_1': np.float64(0.7301032672841636), 'arm_2': np.float64(0.6817031020712911), 'arm_7': np.float64(0.5854353018152763), 'arm_10': np.float64(0.5580001993812731), 'arm_14': np.float64(0.5112677926906424), 'arm_11': np.float64(0.48922016953519576), 'arm_12': np.float64(0.44339786769692024), 'arm_17': np.float64(0.4360849310111776), 'arm_19': np.float64(0.3114442001134142), 'arm_15': np.float64(0.24180549218263192), 'arm_5': np.float64(0.23555205237257948), 'arm_13': np.float64(0.19690071179611035), 'arm_16': np.float64(0.055561848352302046)}]","[{'arm_3': np.float64(0.5784008307372793), 'arm_6': np.float64(0.4894613583138173), 'arm_18': np.float64(0.46449704142011833), 'arm_4': np.float64(0.4583333333333333), 'arm_8': np.float64(0.455), 'arm_9': np.float64(0.44387755102040816), 'arm_0': np.float64(0.43283582089552236), 'arm_10': np.float64(0.4025974025974026), 'arm_7': np.float64(0.3854166666666667), 'arm_14': np.float64(0.3617021276595745), 'arm_12': np.float64(0.35555555555555557), 'arm_11': np.float64(0.34615384615384615), 'arm_19': np.float64(0.29411764705882354), 'arm_1': np.float64(0.2903225806451613), 'arm_17': np.float64(0.2727272727272727), 'arm_15': np.float64(0.23076923076923078), 'arm_2': np.float64(0.21739130434782608), 'arm_5': np.float64(0.15789473684210525), 'arm_13': np.float64(0.14285714285714285), 'arm_16': np.float64(0.13333333333333333)}]"
3,3,thompson,False,2,0.05566668510437012,2000,193.94226275812866,"[{'arm_7': np.float64(0.9176050201608675), 'arm_5': np.float64(0.8952267911066999), 'arm_15': np.float64(0.8620630295955329), 'arm_8': np.float64(0.811235706997613), 'arm_12': np.float64(0.7778473363498707), 'arm_17': np.float64(0.6564314389102225), 'arm_16': np.float64(0.652856723775513), 'arm_6': np.float64(0.5658475171413829), 'arm_4': np.float64(0.5140091308182606), 'arm_19': np.float64(0.4791857115567921), 'arm_10': np.float64(0.41104717001919655), 'arm_0': np.float64(0.3592231617845719), 'arm_3': np.float64(0.32757326720342306), 'arm_1': np.float64(0.2890917115900643), 'arm_9': np.float64(0.2503701244039389), 'arm_2': np.float64(0.21149018709062029), 'arm_13': np.float64(0.16764552947296552), 'arm_11': np.float64(0.13740346088467303), 'arm_14': np.float64(0.1094598748639467), 'arm_18': np.float64(0.07803952993847008)}]","[{'arm_15': np.float64(0.5552109181141439), 'arm_7': np.float64(0.5174291938997821), 'arm_12': np.float64(0.5015384615384615), 'arm_8': np.float64(0.5), 'arm_5': np.float64(0.4838709677419355), 'arm_17': np.float64(0.4375), 'arm_6': np.float64(0.43333333333333335), 'arm_16': np.float64(0.41379310344827586), 'arm_0': np.float64(0.36666666666666664), 'arm_10': np.float64(0.34782608695652173), 'arm_1': np.float64(0.3404255319148936), 'arm_2': np.float64(0.3333333333333333), 'arm_4': np.float64(0.3333333333333333), 'arm_3': np.float64(0.30952380952380953), 'arm_9': np.float64(0.28), 'arm_13': np.float64(0.2222222222222222), 'arm_11': np.float64(0.17647058823529413), 'arm_14': np.float64(0.13333333333333333), 'arm_19': np.float64(0.13333333333333333), 'arm_18': np.float64(0.09090909090909091)}]"
4,4,thompson,False,2,0.05521273612976074,2000,192.99733041081254,"[{'arm_15': np.float64(0.9538260692905871), 'arm_14': np.float64(0.9031010069286908), 'arm_8': np.float64(0.9014829406501904), 'arm_19': np.float64(0.8974992946473342), 'arm_13': np.float64(0.8036108881612424), 'arm_3': np.float64(0.7763537533504811), 'arm_2': np.float64(0.7535388809485891), 'arm_16': np.float64(0.7256968804578927), 'arm_10': np.float64(0.7036989556289749), 'arm_7': np.float64(0.6718120847761262), 'arm_4': np.float64(0.6442105814371824), 'arm_5': np.float64(0.6374557234739893), 'arm_6': np.float64(0.580664254222837), 'arm_17': np.float64(0.5183390882860756), 'arm_18': np.float64(0.43110512628572417), 'arm_0': np.float64(0.3322993209339814), 'arm_11': np.float64(0.28761291783741094), 'arm_1': np.float64(0.2312934875286614), 'arm_9': np.float64(0.22829698572356472), 'arm_12': np.float64(0.21935523400673984)}]","[{'arm_14': np.float64(0.5434380776340111), 'arm_15': np.float64(0.5366705471478463), 'arm_19': np.float64(0.513715710723192), 'arm_8': np.float64(0.5115740740740741), 'arm_13': np.float64(0.4981684981684982), 'arm_2': np.float64(0.47058823529411764), 'arm_16': np.float64(0.44954128440366975), 'arm_17': np.float64(0.4406779661016949), 'arm_10': np.float64(0.43636363636363634), 'arm_7': np.float64(0.4339622641509434), 'arm_3': np.float64(0.43157894736842106), 'arm_4': np.float64(0.43037974683544306), 'arm_18': np.float64(0.34545454545454546), 'arm_0': np.float64(0.3333333333333333), 'arm_5': np.float64(0.3103448275862069), 'arm_6': np.float64(0.3103448275862069), 'arm_11': np.float64(0.2692307692307692), 'arm_1': np.float64(0.23076923076923078), 'arm_9': np.float64(0.21052631578947367), 'arm_12': np.float64(0.15384615384615385)}]"
5,5,thompson,False,3,0.0550084114074707,2000,234.6632550073016,"[{'arm_12': np.float64(0.9795559895486117), 'arm_1': np.float64(0.9673514159309544), 'arm_4': np.float64(0.963762343495695), 'arm_3': np.float64(0.9338347855466897), 'arm_18': np.float64(0.8340985482209086), 'arm_14': np.float64(0.830466942148006), 'arm_10': np.float64(0.7973432870735648), 'arm_0': np.float64(0.7844663683187083), 'arm_9': np.float64(0.7818275625155869), 'arm_15': np.float64(0.7254181584971198), 'arm_16': np.float64(0.6861199573144465), 'arm_7': np.float64(0.6837123458358524), 'arm_13': np.float64(0.5400112399835855), 'arm_17': np.float64(0.47249236773392567), 'arm_6': np.float64(0.37384253929916245), 'arm_8': np.float64(0.345949223158327), 'arm_11': np.float64(0.28266462451384944), 'arm_5': np.float64(0.20551818836126268), 'arm_2': np.float64(0.16661468261207268), 'arm_19': np.float64(0.06691910565866965)}]","[{'arm_3': np.float64(0.5544354838709677), 'arm_14': np.float64(0.5141242937853108), 'arm_12': np.float64(0.5133214920071048), 'arm_4': np.float64(0.5108225108225108), 'arm_0': np.float64(0.4982698961937716), 'arm_1': np.float64(0.4978902953586498), 'arm_18': np.float64(0.49537037037037035), 'arm_10': np.float64(0.48760330578512395), 'arm_15': np.float64(0.48375451263537905), 'arm_6': np.float64(0.4266666666666667), 'arm_9': np.float64(0.4215686274509804), 'arm_7': np.float64(0.4067796610169492), 'arm_8': np.float64(0.39285714285714285), 'arm_17': np.float64(0.36538461538461536), 'arm_13': np.float64(0.35555555555555557), 'arm_16': np.float64(0.25), 'arm_2': np.float64(0.2222222222222222), 'arm_5': np.float64(0.15384615384615385), 'arm_11': np.float64(0.09090909090909091), 'arm_19': np.float64(0.09090909090909091)}]"
6,6,thompson,False,2,0.05489206314086914,2000,180.81067603519318,"[{'arm_6': np.float64(0.962680493396628), 'arm_0': np.float64(0.9309282962126911), 'arm_15': np.float64(0.8832521450621503), 'arm_4': np.float64(0.8571244944932666), 'arm_1': np.float64(0.8405014077115198), 'arm_10': np.float64(0.8340277993761858), 'arm_2': np.float64(0.7750619171105743), 'arm_19': np.float64(0.6315969319069391), 'arm_9': np.float64(0.619995359588734), 'arm_14': np.float64(0.5626732784634962), 'arm_13': np.float64(0.548067489233736), 'arm_8': np.float64(0.5475889568671192), 'arm_16': np.float64(0.44765158049672826), 'arm_12': np.float64(0.3921192840620432), 'arm_18': np.float64(0.32768510106505877), 'arm_5': np.float64(0.29253808942464543), 'arm_17': np.float64(0.2624684817692923), 'arm_3': np.float64(0.24185035561251922), 'arm_11': np.float64(0.18309380779072182), 'arm_7': np.float64(0.11392635122932049)}]","[{'arm_0': np.float64(0.5381165919282511), 'arm_6': np.float64(0.5282392026578073), 'arm_10': np.float64(0.5154185022026432), 'arm_4': np.float64(0.5135135135135135), 'arm_15': np.float64(0.510548523206751), 'arm_2': np.float64(0.49868073878627966), 'arm_1': np.float64(0.42857142857142855), 'arm_14': np.float64(0.4117647058823529), 'arm_19': np.float64(0.36666666666666664), 'arm_8': np.float64(0.35294117647058826), 'arm_9': np.float64(0.3333333333333333), 'arm_16': np.float64(0.32432432432432434), 'arm_17': np.float64(0.2857142857142857), 'arm_3': np.float64(0.25), 'arm_5': np.float64(0.25), 'arm_13': np.float64(0.23809523809523808), 'arm_12': np.float64(0.1875), 'arm_18': np.float64(0.15384615384615385), 'arm_11': np.float64(0.14285714285714285), 'arm_7': np.float64(0.1111111111111111)}]"
7,7,thompson,False,3,0.05260872840881348,2000,128.55340280926498,"[{'arm_9': np.float64(0.9947579043508683), 'arm_11': np.float64(0.9764636463502986), 'arm_10': np.float64(0.9584300145590133), 'arm_14': np.float64(0.9372877920365016), 'arm_8': np.float64(0.9008468513588163), 'arm_15': np.float64(0.7666505787122424), 'arm_0': np.float64(0.7391663512418006), 'arm_2': np.float64(0.7239605657708645), 'arm_5': np.float64(0.5844162559289905), 'arm_1': np.float64(0.5594851978892763), 'arm_6': np.float64(0.5534221226857546), 'arm_3': np.float64(0.48884197173371313), 'arm_12': np.float64(0.443394409463548), 'arm_4': np.float64(0.34576665212135027), 'arm_16': np.float64(0.23657917962448693), 'arm_18': np.float64(0.1631169843973832), 'arm_13': np.float64(0.15175054691461953), 'arm_19': np.float64(0.06617428679112414), 'arm_7': np.float64(0.06066569220667961), 'arm_17': np.float64(0.045493055564091)}]","[{'arm_14': np.float64(0.5348525469168901), 'arm_11': np.float64(0.5282442748091603), 'arm_9': np.float64(0.5228951255539144), 'arm_10': np.float64(0.5220588235294118), 'arm_2': np.float64(0.46938775510204084), 'arm_0': np.float64(0.44339622641509435), 'arm_15': np.float64(0.4260869565217391), 'arm_5': np.float64(0.4074074074074074), 'arm_8': np.float64(0.4), 'arm_3': np.float64(0.34285714285714286), 'arm_6': np.float64(0.34), 'arm_1': np.float64(0.3225806451612903), 'arm_12': np.float64(0.3125), 'arm_19': np.float64(0.21428571428571427), 'arm_4': np.float64(0.17647058823529413), 'arm_7': np.float64(0.14285714285714285), 'arm_13': np.float64(0.1), 'arm_16': np.float64(0.1), 'arm_18': np.float64(0.1), 'arm_17': np.float64(0.09090909090909091)}]"
8,8,thompson,True,1,0.05499410629272461,2000,201.72729166442582,"[{'arm_4': np.float64(0.9925218525477069), 'arm_11': np.float64(0.9422008286062117), 'arm_8': np.float64(0.8624620576806306), 'arm_18': np.float64(0.8243768630238031), 'arm_0': np.float64(0.8128429497350143), 'arm_5': np.float64(0.8015310462125512), 'arm_16': np.float64(0.7564224968213933), 'arm_12': np.float64(0.7126230789159916), 'arm_3': np.float64(0.6624155342979708), 'arm_10': np.float64(0.6573165408380949), 'arm_9': np.float64(0.6069083549326882), 'arm_7': np.float64(0.49753503675586463), 'arm_13': np.float64(0.4357462593447766), 'arm_2': np.float64(0.36644275396955694), 'arm_14': np.float64(0.3383406603687966), 'arm_17': np.float64(0.2765206070940629), 'arm_1': np.float64(0.1965647639842093), 'arm_6': np.float64(0.18357012348803636), 'arm_15': np.float64(0.1284187993667265), 'arm_19': np.float64(0.07630538245669993)}]","[{'arm_4': np.float64(0.5399408284023669), 'arm_11': np.float64(0.5354558610709117), 'arm_0': np.float64(0.5236220472440944), 'arm_9': np.float64(0.4649122807017544), 'arm_3': np.float64(0.45255474452554745), 'arm_16': np.float64(0.44871794871794873), 'arm_5': np.float64(0.4444444444444444), 'arm_12': np.float64(0.36363636363636365), 'arm_8': np.float64(0.3541666666666667), 'arm_2': np.float64(0.34615384615384615), 'arm_10': np.float64(0.3333333333333333), 'arm_7': np.float64(0.325), 'arm_18': np.float64(0.3225806451612903), 'arm_17': np.float64(0.3157894736842105), 'arm_6': np.float64(0.3103448275862069), 'arm_14': np.float64(0.25925925925925924), 'arm_19': np.float64(0.22727272727272727), 'arm_1': np.float64(0.2222222222222222), 'arm_13': np.float64(0.16666666666666666), 'arm_15': np.float64(0.13333333333333333)}]"
9,9,thompson,False,4,0.05600142478942871,2000,290.74375855367816,"[{'arm_1': np.float64(0.9932253503563251), 'arm_4': np.float64(0.9781023185568684), 'arm_7': np.float64(0.9691817970908876), 'arm_19': np.float64(0.8266599842583195), 'arm_18': np.float64(0.7435563256224449), 'arm_10': np.float64(0.700816879297288), 'arm_6': np.float64(0.6649054863194895), 'arm_17': np.float64(0.6421304872476153), 'arm_15': np.float64(0.6181933174019358), 'arm_5': np.float64(0.47094561092970355), 'arm_0': np.float64(0.456878367590669), 'arm_12': np.float64(0.4399573314639106), 'arm_14': np.float64(0.4383586416007853), 'arm_8': np.float64(0.26117209047880974), 'arm_9': np.float64(0.24997438340420675), 'arm_2': np.float64(0.12741912949613032), 'arm_3': np.float64(0.12272343416530052), 'arm_13': np.float64(0.04633873791699805), 'arm_16': np.float64(0.035990004709055445), 'arm_11': np.float64(0.03231121002749304)}]","[{'arm_4': np.float64(0.5485961123110151), 'arm_19': np.float64(0.5297029702970297), 'arm_7': np.float64(0.5272952853598015), 'arm_1': np.float64(0.5156695156695157), 'arm_6': np.float64(0.4797297297297297), 'arm_18': np.float64(0.4756756756756757), 'arm_15': np.float64(0.4588235294117647), 'arm_10': np.float64(0.43434343434343436), 'arm_17': np.float64(0.40540540540540543), 'arm_12': np.float64(0.3770491803278688), 'arm_14': np.float64(0.36363636363636365), 'arm_9': np.float64(0.35714285714285715), 'arm_5': np.float64(0.34), 'arm_3': np.float64(0.2972972972972973), 'arm_0': np.float64(0.2916666666666667), 'arm_2': np.float64(0.2), 'arm_16': np.float64(0.13333333333333333), 'arm_8': np.float64(0.1111111111111111), 'arm_13': np.float64(0.09090909090909091), 'arm_11': np.float64(0.09090909090909091)}]"
