,Run,Strategy,Correct,Position,Exec_Time,Num_Iterations,Regret_Loss,True_rank,Obtained_rank
0,0,thompson,True,1,0.007999658584594727,500,31.49028784183659,"[{'arm_2': np.float64(0.4671307877875398), 'arm_4': np.float64(0.30787591578528695), 'arm_3': np.float64(0.24583715885661028), 'arm_0': np.float64(0.17249103896367846), 'arm_1': np.float64(0.054495527661377996)}]","[{'arm_2': np.float64(0.6452905811623246), 'arm_4': np.float64(0.38186813186813184), 'arm_3': np.float64(0.33962264150943394), 'arm_0': np.float64(0.2413793103448276), 'arm_1': np.float64(0.08333333333333333)}]"
1,1,thompson,True,1,0.007050752639770508,500,50.71417845440345,"[{'arm_3': np.float64(0.9403607352281947), 'arm_2': np.float64(0.7411887454528033), 'arm_0': np.float64(0.3748860684675235), 'arm_4': np.float64(0.3197472556787261), 'arm_1': np.float64(0.1936194718132832)}]","[{'arm_3': np.float64(0.6915322580645161), 'arm_2': np.float64(0.3542319749216301), 'arm_4': np.float64(0.28), 'arm_0': np.float64(0.24193548387096775), 'arm_1': np.float64(0.18181818181818182)}]"
2,2,thompson,True,1,0.0070073604583740234,500,48.66225664028531,"[{'arm_2': np.float64(0.9423883056440125), 'arm_0': np.float64(0.8058181338934723), 'arm_1': np.float64(0.37651802063444817), 'arm_4': np.float64(0.2724018688244175), 'arm_3': np.float64(0.17626291707786046)}]","[{'arm_2': np.float64(0.5876288659793815), 'arm_0': np.float64(0.4713541666666667), 'arm_4': np.float64(0.29347826086956524), 'arm_1': np.float64(0.25), 'arm_3': np.float64(0.24)}]"
3,3,thompson,True,1,0.007999181747436523,500,51.1936931633183,"[{'arm_2': np.float64(0.7980625525951499), 'arm_1': np.float64(0.5804168899900217), 'arm_4': np.float64(0.3655722121797649), 'arm_3': np.float64(0.2424441086445427), 'arm_0': np.float64(0.10985252192358907)}]","[{'arm_2': np.float64(0.6632016632016632), 'arm_1': np.float64(0.3728813559322034), 'arm_4': np.float64(0.35294117647058826), 'arm_3': np.float64(0.17391304347826086), 'arm_0': np.float64(0.125)}]"
4,4,thompson,True,1,0.00799870491027832,500,82.24996849123835,"[{'arm_1': np.float64(0.9967932065773534), 'arm_0': np.float64(0.6778780894821547), 'arm_4': np.float64(0.5743710681435228), 'arm_3': np.float64(0.4653331044727641), 'arm_2': np.float64(0.05250782991534997)}]","[{'arm_1': np.float64(0.5795918367346938), 'arm_0': np.float64(0.4562043795620438), 'arm_4': np.float64(0.4327485380116959), 'arm_3': np.float64(0.32142857142857145), 'arm_2': np.float64(0.21052631578947367)}]"
5,5,thompson,True,1,0.007993936538696289,500,24.778217156057167,"[{'arm_1': np.float64(0.5296333616611257), 'arm_4': np.float64(0.4565302954140744), 'arm_2': np.float64(0.4007428702358041), 'arm_3': np.float64(0.25640421649915623), 'arm_0': np.float64(0.07153274093658846)}]","[{'arm_1': np.float64(0.5608247422680412), 'arm_4': np.float64(0.4597156398104265), 'arm_2': np.float64(0.45964912280701753), 'arm_3': np.float64(0.1875), 'arm_0': np.float64(0.15384615384615385)}]"
6,6,thompson,True,1,0.007999658584594727,500,67.71154815245905,"[{'arm_2': np.float64(0.8495577872919732), 'arm_1': np.float64(0.638797048808662), 'arm_4': np.float64(0.46970056604446675), 'arm_0': np.float64(0.42884954776608275), 'arm_3': np.float64(0.2586608824610406)}]","[{'arm_2': np.float64(0.6089108910891089), 'arm_1': np.float64(0.45823389021479716), 'arm_0': np.float64(0.3983050847457627), 'arm_4': np.float64(0.29545454545454547), 'arm_3': np.float64(0.28)}]"
7,7,thompson,True,1,0.007997751235961914,500,56.56648713005063,"[{'arm_2': np.float64(0.7488670416192932), 'arm_4': np.float64(0.4505845935635082), 'arm_1': np.float64(0.09673456530317759), 'arm_3': np.float64(0.02630459765592985), 'arm_0': np.float64(0.01118311861467991)}]","[{'arm_2': np.float64(0.6405622489959839), 'arm_4': np.float64(0.389010989010989), 'arm_1': np.float64(0.20833333333333334), 'arm_0': np.float64(0.125), 'arm_3': np.float64(0.11764705882352941)}]"
8,8,thompson,True,1,0.008002042770385742,500,39.23573299946338,"[{'arm_3': np.float64(0.9956955448006124), 'arm_2': np.float64(0.8294778333099826), 'arm_4': np.float64(0.1594639107453667), 'arm_0': np.float64(0.12969282751438982), 'arm_1': np.float64(0.0106504362241574)}]","[{'arm_3': np.float64(0.5801217038539553), 'arm_2': np.float64(0.4547413793103448), 'arm_0': np.float64(0.21428571428571427), 'arm_1': np.float64(0.08333333333333333), 'arm_4': np.float64(0.07692307692307693)}]"
9,9,thompson,True,1,0.009005069732666016,500,17.272581835370204,"[{'arm_0': np.float64(0.5816352011663777), 'arm_2': np.float64(0.5610048987838471), 'arm_3': np.float64(0.5017456914581088), 'arm_4': np.float64(0.25358725645180713), 'arm_1': np.float64(0.23184981944459682)}]","[{'arm_0': np.float64(0.5307855626326964), 'arm_2': np.float64(0.508641975308642), 'arm_1': np.float64(0.3888888888888889), 'arm_4': np.float64(0.3541666666666667), 'arm_3': np.float64(0.34375)}]"
