,Run,Strategy,Correct,Position,Exec_Time,Num_Iterations,Regret_Loss,True_rank,Obtained_rank
0,0,thompson,True,1,0.01899886131286621,1000,175.93837211450057,"[{'arm_3': np.float64(1.0), 'arm_4': np.float64(0.4998095594403335), 'arm_9': np.float64(0.4949373574154116), 'arm_7': np.float64(0.3826292307543211), 'arm_6': np.float64(0.3225890075790935), 'arm_2': np.float64(0.28760427235636876), 'arm_8': np.float64(0.25662021910232424), 'arm_5': np.float64(0.24444400329925747), 'arm_0': np.float64(0.15027595156840579), 'arm_1': np.float64(0.1338245269392475)}]","[{'arm_3': np.float64(0.7071428571428572), 'arm_9': np.float64(0.3374083129584352), 'arm_4': np.float64(0.31875), 'arm_7': np.float64(0.3103448275862069), 'arm_2': np.float64(0.3), 'arm_8': np.float64(0.2898550724637681), 'arm_6': np.float64(0.26), 'arm_5': np.float64(0.2), 'arm_1': np.float64(0.16666666666666666), 'arm_0': np.float64(0.10526315789473684)}]"
1,1,thompson,True,1,0.01912069320678711,1000,179.72772959280678,"[{'arm_5': np.float64(1.0), 'arm_4': np.float64(0.31432290673573066), 'arm_9': np.float64(0.2877856703573259), 'arm_2': np.float64(0.24665779538793897), 'arm_8': np.float64(0.21150172262418981), 'arm_0': np.float64(0.10359085502226162), 'arm_6': np.float64(0.07872080227369699), 'arm_7': np.float64(0.06507317789250411), 'arm_3': np.float64(0.05543096562970001), 'arm_1': np.float64(0.03387220433264171)}]","[{'arm_5': np.float64(0.7795031055900621), 'arm_4': np.float64(0.2753246753246753), 'arm_2': np.float64(0.25120772946859904), 'arm_8': np.float64(0.25), 'arm_9': np.float64(0.24675324675324675), 'arm_0': np.float64(0.15789473684210525), 'arm_1': np.float64(0.1111111111111111), 'arm_7': np.float64(0.10526315789473684), 'arm_3': np.float64(0.06666666666666667), 'arm_6': np.float64(0.0625)}]"
2,2,thompson,True,1,0.019975900650024414,1000,179.08094019501993,"[{'arm_1': np.float64(1.0), 'arm_8': np.float64(0.451630435092706), 'arm_0': np.float64(0.4353145626471449), 'arm_4': np.float64(0.3567288370657019), 'arm_9': np.float64(0.33605530501026387), 'arm_3': np.float64(0.26205962464986576), 'arm_6': np.float64(0.24658953875439749), 'arm_7': np.float64(0.24109529370226068), 'arm_5': np.float64(0.21512720264229057), 'arm_2': np.float64(0.011966093454572446)}]","[{'arm_1': np.float64(0.7371601208459214), 'arm_9': np.float64(0.3087248322147651), 'arm_7': np.float64(0.2894736842105263), 'arm_0': np.float64(0.2818181818181818), 'arm_4': np.float64(0.27388535031847133), 'arm_6': np.float64(0.2641509433962264), 'arm_8': np.float64(0.23529411764705882), 'arm_5': np.float64(0.175), 'arm_3': np.float64(0.13793103448275862), 'arm_2': np.float64(0.0625)}]"
3,3,thompson,True,1,0.019936323165893555,1000,158.34598901673985,"[{'arm_1': np.float64(1.0), 'arm_4': np.float64(0.4542416639903962), 'arm_6': np.float64(0.4157856417650395), 'arm_8': np.float64(0.3959874077502502), 'arm_5': np.float64(0.352379195252767), 'arm_0': np.float64(0.20699282385252576), 'arm_9': np.float64(0.12805249710754324), 'arm_2': np.float64(0.09498729798903299), 'arm_3': np.float64(0.06992991027507522), 'arm_7': np.float64(0.04779187656200934)}]","[{'arm_1': np.float64(0.7412236710130391), 'arm_4': np.float64(0.30927835051546393), 'arm_8': np.float64(0.2892561983471074), 'arm_5': np.float64(0.2564102564102564), 'arm_6': np.float64(0.23809523809523808), 'arm_0': np.float64(0.2028985507246377), 'arm_9': np.float64(0.16326530612244897), 'arm_2': np.float64(0.16279069767441862), 'arm_7': np.float64(0.06666666666666667), 'arm_3': np.float64(0.0625)}]"
4,4,thompson,True,1,0.019882678985595703,1000,244.19842628908248,"[{'arm_5': np.float64(1.0), 'arm_7': np.float64(0.4465081482589307), 'arm_4': np.float64(0.42888675442080004), 'arm_1': np.float64(0.4100027949774694), 'arm_8': np.float64(0.3595775009717181), 'arm_2': np.float64(0.25666245308702584), 'arm_3': np.float64(0.18976309173630368), 'arm_6': np.float64(0.16012844089784029), 'arm_0': np.float64(0.09217453909528617), 'arm_9': np.float64(0.03143254909523918)}]","[{'arm_5': np.float64(0.7444987775061125), 'arm_7': np.float64(0.37037037037037035), 'arm_4': np.float64(0.36538461538461536), 'arm_8': np.float64(0.35313531353135313), 'arm_2': np.float64(0.3063063063063063), 'arm_1': np.float64(0.28205128205128205), 'arm_3': np.float64(0.27586206896551724), 'arm_0': np.float64(0.16666666666666666), 'arm_6': np.float64(0.16666666666666666), 'arm_9': np.float64(0.13636363636363635)}]"
5,5,thompson,True,1,0.020002126693725586,1000,178.23938824922482,"[{'arm_0': np.float64(1.0), 'arm_1': np.float64(0.47445047802839097), 'arm_9': np.float64(0.4171710621770943), 'arm_5': np.float64(0.3643100295607149), 'arm_7': np.float64(0.3420893254188077), 'arm_4': np.float64(0.2379943929868713), 'arm_3': np.float64(0.2285547101918804), 'arm_6': np.float64(0.17758803344102658), 'arm_2': np.float64(0.16653623519801325), 'arm_8': np.float64(0.1328222235744596)}]","[{'arm_0': np.float64(0.7176113360323887), 'arm_9': np.float64(0.34530938123752497), 'arm_1': np.float64(0.2835820895522388), 'arm_7': np.float64(0.2803030303030303), 'arm_3': np.float64(0.25252525252525254), 'arm_5': np.float64(0.22727272727272727), 'arm_8': np.float64(0.15384615384615385), 'arm_2': np.float64(0.13793103448275862), 'arm_4': np.float64(0.125), 'arm_6': np.float64(0.09523809523809523)}]"
6,6,thompson,True,1,0.01999831199645996,1000,148.96311137761688,"[{'arm_2': np.float64(1.0), 'arm_6': np.float64(0.38134183326951865), 'arm_5': np.float64(0.174335689686471), 'arm_0': np.float64(0.17212789464589628), 'arm_3': np.float64(0.142767283967138), 'arm_7': np.float64(0.1423512403317546), 'arm_4': np.float64(0.05560435450803641), 'arm_8': np.float64(0.05037000094906252), 'arm_9': np.float64(0.04611962299828731), 'arm_1': np.float64(0.022647607717538487)}]","[{'arm_2': np.float64(0.7793380140421263), 'arm_6': np.float64(0.2701492537313433), 'arm_5': np.float64(0.19101123595505617), 'arm_7': np.float64(0.18518518518518517), 'arm_3': np.float64(0.14285714285714285), 'arm_9': np.float64(0.11904761904761904), 'arm_0': np.float64(0.11764705882352941), 'arm_4': np.float64(0.1), 'arm_8': np.float64(0.05555555555555555), 'arm_1': np.float64(0.05)}]"
7,7,thompson,True,1,0.018999814987182617,1000,171.09369592583596,"[{'arm_7': np.float64(1.0), 'arm_2': np.float64(0.4855322456290195), 'arm_8': np.float64(0.4639038530049472), 'arm_6': np.float64(0.45417085530048745), 'arm_9': np.float64(0.44038922477840936), 'arm_5': np.float64(0.3379365489832861), 'arm_3': np.float64(0.32010690995937036), 'arm_4': np.float64(0.3193805475211237), 'arm_0': np.float64(0.2861307414618399), 'arm_1': np.float64(0.14310564670332615)}]","[{'arm_7': np.float64(0.7232323232323232), 'arm_2': np.float64(0.3333333333333333), 'arm_9': np.float64(0.31627906976744186), 'arm_5': np.float64(0.3023255813953488), 'arm_8': np.float64(0.27692307692307694), 'arm_3': np.float64(0.27611940298507465), 'arm_6': np.float64(0.23214285714285715), 'arm_4': np.float64(0.23076923076923078), 'arm_0': np.float64(0.2127659574468085), 'arm_1': np.float64(0.1875)}]"
8,8,thompson,True,1,0.018674612045288086,1000,172.37315145156003,"[{'arm_2': np.float64(1.0), 'arm_9': np.float64(0.4781514285418137), 'arm_6': np.float64(0.4174525909577353), 'arm_4': np.float64(0.3787086311648183), 'arm_5': np.float64(0.35632894817677707), 'arm_0': np.float64(0.34761670859724986), 'arm_8': np.float64(0.22388867387925032), 'arm_1': np.float64(0.1245958948553334), 'arm_3': np.float64(0.07574126527551411), 'arm_7': np.float64(0.002245030965914163)}]","[{'arm_2': np.float64(0.7144298688193743), 'arm_9': np.float64(0.33121019108280253), 'arm_6': np.float64(0.3228346456692913), 'arm_5': np.float64(0.2926829268292683), 'arm_4': np.float64(0.2896551724137931), 'arm_0': np.float64(0.25842696629213485), 'arm_8': np.float64(0.1794871794871795), 'arm_1': np.float64(0.15625), 'arm_3': np.float64(0.10526315789473684), 'arm_7': np.float64(0.07142857142857142)}]"
9,9,thompson,True,1,0.018997907638549805,1000,166.03456644638743,"[{'arm_4': np.float64(1.0), 'arm_9': np.float64(0.48581492935593995), 'arm_7': np.float64(0.4208101644004108), 'arm_0': np.float64(0.4105260739831812), 'arm_6': np.float64(0.34014721132548775), 'arm_8': np.float64(0.3371815984755281), 'arm_2': np.float64(0.2710906774321227), 'arm_1': np.float64(0.2582832042880813), 'arm_5': np.float64(0.24305039582644633), 'arm_3': np.float64(0.06900816359982315)}]","[{'arm_4': np.float64(0.7447023208879919), 'arm_7': np.float64(0.31443298969072164), 'arm_8': np.float64(0.27385892116182575), 'arm_0': np.float64(0.2638888888888889), 'arm_6': np.float64(0.23076923076923078), 'arm_2': np.float64(0.22988505747126436), 'arm_1': np.float64(0.19230769230769232), 'arm_5': np.float64(0.16216216216216217), 'arm_3': np.float64(0.14285714285714285), 'arm_9': np.float64(0.11538461538461539)}]"
