,Run,Strategy,Correct,Position,Exec_Time,Num_Iterations,Regret_Loss,True_rank,Obtained_rank
0,0,thompson,True,1,0.050075531005859375,2000,313.84206849449856,"[{'arm_15': np.float64(1.0), 'arm_16': np.float64(0.4898421057696163), 'arm_4': np.float64(0.4625281041139165), 'arm_7': np.float64(0.4580355243128369), 'arm_12': np.float64(0.4093633949333076), 'arm_14': np.float64(0.35722816563749005), 'arm_5': np.float64(0.3277836588755544), 'arm_0': np.float64(0.325257118357895), 'arm_1': np.float64(0.3049526977230849), 'arm_11': np.float64(0.2904879161152017), 'arm_8': np.float64(0.24799112169366477), 'arm_3': np.float64(0.24588341719711343), 'arm_17': np.float64(0.20377882551177873), 'arm_9': np.float64(0.19506807211551863), 'arm_2': np.float64(0.19313124496969464), 'arm_18': np.float64(0.14856298124951578), 'arm_13': np.float64(0.1164067562851252), 'arm_6': np.float64(0.08934064789443258), 'arm_19': np.float64(0.08052164527873795), 'arm_10': np.float64(0.011787885960420519)}]","[{'arm_15': np.float64(0.7332662304982386), 'arm_4': np.float64(0.3357771260997067), 'arm_7': np.float64(0.319634703196347), 'arm_16': np.float64(0.2903225806451613), 'arm_1': np.float64(0.22916666666666666), 'arm_14': np.float64(0.22666666666666666), 'arm_11': np.float64(0.2222222222222222), 'arm_5': np.float64(0.21739130434782608), 'arm_0': np.float64(0.20967741935483872), 'arm_9': np.float64(0.2), 'arm_18': np.float64(0.19148936170212766), 'arm_12': np.float64(0.19148936170212766), 'arm_17': np.float64(0.14705882352941177), 'arm_13': np.float64(0.1388888888888889), 'arm_3': np.float64(0.13333333333333333), 'arm_6': np.float64(0.125), 'arm_8': np.float64(0.09523809523809523), 'arm_19': np.float64(0.09090909090909091), 'arm_2': np.float64(0.08695652173913043), 'arm_10': np.float64(0.06666666666666667)}]"
1,1,thompson,True,1,0.05202484130859375,2000,323.2388463591076,"[{'arm_0': np.float64(1.0), 'arm_14': np.float64(0.49709962819776315), 'arm_19': np.float64(0.4696697390376989), 'arm_7': np.float64(0.46765092758376203), 'arm_4': np.float64(0.41455101342655803), 'arm_17': np.float64(0.3891234910843694), 'arm_18': np.float64(0.38384803165499354), 'arm_2': np.float64(0.30952209198091946), 'arm_16': np.float64(0.2826397827489009), 'arm_6': np.float64(0.23383125509600128), 'arm_9': np.float64(0.1993160852471263), 'arm_8': np.float64(0.19317634315560261), 'arm_12': np.float64(0.18813874438951966), 'arm_10': np.float64(0.17598212789823137), 'arm_15': np.float64(0.14613343855014765), 'arm_13': np.float64(0.1335331029790165), 'arm_1': np.float64(0.10364024440991648), 'arm_5': np.float64(0.09151705594693088), 'arm_3': np.float64(0.01756450143059246), 'arm_11': np.float64(0.006639577439780109)}]","[{'arm_0': np.float64(0.7270875763747454), 'arm_14': np.float64(0.34990439770554493), 'arm_7': np.float64(0.3217391304347826), 'arm_19': np.float64(0.30970149253731344), 'arm_4': np.float64(0.2983425414364641), 'arm_16': np.float64(0.25742574257425743), 'arm_18': np.float64(0.24705882352941178), 'arm_17': np.float64(0.23863636363636365), 'arm_9': np.float64(0.20512820512820512), 'arm_8': np.float64(0.20454545454545456), 'arm_10': np.float64(0.18518518518518517), 'arm_15': np.float64(0.16666666666666666), 'arm_1': np.float64(0.15151515151515152), 'arm_5': np.float64(0.13513513513513514), 'arm_12': np.float64(0.13333333333333333), 'arm_2': np.float64(0.125), 'arm_6': np.float64(0.1111111111111111), 'arm_11': np.float64(0.1111111111111111), 'arm_13': np.float64(0.08695652173913043), 'arm_3': np.float64(0.058823529411764705)}]"
2,2,thompson,True,1,0.05061674118041992,2000,333.3301580425375,"[{'arm_10': np.float64(1.0), 'arm_18': np.float64(0.48031187252365193), 'arm_7': np.float64(0.46754756756791843), 'arm_3': np.float64(0.4504377523867665), 'arm_11': np.float64(0.43432322115858807), 'arm_13': np.float64(0.4013199790782612), 'arm_1': np.float64(0.37313487706578224), 'arm_12': np.float64(0.3141577542593494), 'arm_0': np.float64(0.3020751842402382), 'arm_2': np.float64(0.3004894812303216), 'arm_14': np.float64(0.27333323718263536), 'arm_6': np.float64(0.26221153806901787), 'arm_16': np.float64(0.26200759178354116), 'arm_19': np.float64(0.1824657951140844), 'arm_5': np.float64(0.14411851118393504), 'arm_9': np.float64(0.12799020679917222), 'arm_8': np.float64(0.11942067151249197), 'arm_4': np.float64(0.08428705025638433), 'arm_15': np.float64(0.0336326560199825), 'arm_17': np.float64(0.024138150788227175)}]","[{'arm_10': np.float64(0.719112455874937), 'arm_3': np.float64(0.34972677595628415), 'arm_18': np.float64(0.3302919708029197), 'arm_11': np.float64(0.31100478468899523), 'arm_13': np.float64(0.29767441860465116), 'arm_7': np.float64(0.2907801418439716), 'arm_2': np.float64(0.2602739726027397), 'arm_0': np.float64(0.2413793103448276), 'arm_14': np.float64(0.23255813953488372), 'arm_16': np.float64(0.21951219512195122), 'arm_6': np.float64(0.21311475409836064), 'arm_12': np.float64(0.20454545454545456), 'arm_1': np.float64(0.2), 'arm_9': np.float64(0.19230769230769232), 'arm_19': np.float64(0.16129032258064516), 'arm_8': np.float64(0.15151515151515152), 'arm_5': np.float64(0.14285714285714285), 'arm_15': np.float64(0.13636363636363635), 'arm_4': np.float64(0.1), 'arm_17': np.float64(0.058823529411764705)}]"
3,3,thompson,True,1,0.05391430854797363,2000,341.8750107852884,"[{'arm_19': np.float64(1.0), 'arm_8': np.float64(0.4837687951399316), 'arm_1': np.float64(0.4599999355449746), 'arm_10': np.float64(0.447744585887645), 'arm_7': np.float64(0.4093370134866101), 'arm_17': np.float64(0.4073638575274947), 'arm_11': np.float64(0.35190542599079644), 'arm_5': np.float64(0.34990263141908506), 'arm_3': np.float64(0.32335974283793456), 'arm_0': np.float64(0.31272930843751723), 'arm_15': np.float64(0.3103186530936407), 'arm_6': np.float64(0.2893248139554633), 'arm_2': np.float64(0.1762988060189959), 'arm_4': np.float64(0.13973849286519713), 'arm_14': np.float64(0.12433853902052511), 'arm_12': np.float64(0.06430413596174678), 'arm_13': np.float64(0.05092262480291582), 'arm_18': np.float64(0.04928516918899628), 'arm_16': np.float64(0.03054801469894769), 'arm_9': np.float64(0.024208252754427784)}]","[{'arm_19': np.float64(0.720871327254306), 'arm_17': np.float64(0.3333333333333333), 'arm_8': np.float64(0.32848837209302323), 'arm_7': np.float64(0.32558139534883723), 'arm_1': np.float64(0.3101851851851852), 'arm_11': np.float64(0.30935251798561153), 'arm_10': np.float64(0.291970802919708), 'arm_5': np.float64(0.2608695652173913), 'arm_3': np.float64(0.25925925925925924), 'arm_15': np.float64(0.24705882352941178), 'arm_0': np.float64(0.23655913978494625), 'arm_6': np.float64(0.20930232558139536), 'arm_4': np.float64(0.13793103448275862), 'arm_9': np.float64(0.125), 'arm_13': np.float64(0.125), 'arm_12': np.float64(0.09090909090909091), 'arm_18': np.float64(0.07142857142857142), 'arm_2': np.float64(0.07142857142857142), 'arm_14': np.float64(0.06666666666666667), 'arm_16': np.float64(0.0625)}]"
4,4,thompson,True,1,0.05309152603149414,2000,388.7844469218412,"[{'arm_14': np.float64(1.0), 'arm_12': np.float64(0.49749704373394504), 'arm_6': np.float64(0.48261748339893756), 'arm_9': np.float64(0.41942524198589454), 'arm_2': np.float64(0.40895819097288727), 'arm_18': np.float64(0.4086921485406165), 'arm_0': np.float64(0.3983740641226721), 'arm_13': np.float64(0.3770818862842455), 'arm_7': np.float64(0.3521585474583262), 'arm_5': np.float64(0.3342243407019632), 'arm_19': np.float64(0.27950854682495063), 'arm_15': np.float64(0.2131947030633492), 'arm_1': np.float64(0.18425886259752178), 'arm_8': np.float64(0.12059281978191394), 'arm_16': np.float64(0.10122545278565803), 'arm_3': np.float64(0.09789827255186084), 'arm_10': np.float64(0.09523998451301102), 'arm_11': np.float64(0.06532824468863524), 'arm_4': np.float64(0.033435373284113834), 'arm_17': np.float64(0.00912227443001129)}]","[{'arm_14': np.float64(0.7222222222222222), 'arm_12': np.float64(0.3585951940850277), 'arm_9': np.float64(0.34316353887399464), 'arm_13': np.float64(0.3424124513618677), 'arm_2': np.float64(0.3146853146853147), 'arm_19': np.float64(0.3016759776536313), 'arm_7': np.float64(0.2920353982300885), 'arm_0': np.float64(0.2872340425531915), 'arm_1': np.float64(0.25862068965517243), 'arm_15': np.float64(0.2542372881355932), 'arm_6': np.float64(0.25), 'arm_5': np.float64(0.23728813559322035), 'arm_18': np.float64(0.23404255319148937), 'arm_16': np.float64(0.1935483870967742), 'arm_8': np.float64(0.18421052631578946), 'arm_11': np.float64(0.16129032258064516), 'arm_10': np.float64(0.16), 'arm_3': np.float64(0.13043478260869565), 'arm_4': np.float64(0.07142857142857142), 'arm_17': np.float64(0.06666666666666667)}]"
5,5,thompson,True,1,0.05198955535888672,2000,334.49392217802415,"[{'arm_19': np.float64(1.0), 'arm_7': np.float64(0.48479248781304685), 'arm_0': np.float64(0.4843772588862702), 'arm_12': np.float64(0.4485754475234754), 'arm_3': np.float64(0.43722094629454755), 'arm_6': np.float64(0.41115656327917743), 'arm_1': np.float64(0.3770911058005581), 'arm_18': np.float64(0.33055491290069944), 'arm_4': np.float64(0.26766616792253317), 'arm_14': np.float64(0.25727780408111295), 'arm_13': np.float64(0.25186203749539215), 'arm_8': np.float64(0.24348503624696605), 'arm_2': np.float64(0.24210270123488253), 'arm_5': np.float64(0.20232467886727373), 'arm_15': np.float64(0.1701585728571115), 'arm_11': np.float64(0.11939889275034665), 'arm_10': np.float64(0.11630106479091318), 'arm_17': np.float64(0.07782163314687984), 'arm_16': np.float64(0.02891484905782793), 'arm_9': np.float64(0.0014400971036163113)}]","[{'arm_19': np.float64(0.7131272174353775), 'arm_0': np.float64(0.34273318872017355), 'arm_7': np.float64(0.3401015228426396), 'arm_3': np.float64(0.32608695652173914), 'arm_12': np.float64(0.32335329341317365), 'arm_1': np.float64(0.2840909090909091), 'arm_6': np.float64(0.27058823529411763), 'arm_18': np.float64(0.25555555555555554), 'arm_4': np.float64(0.23684210526315788), 'arm_8': np.float64(0.22580645161290322), 'arm_2': np.float64(0.20967741935483872), 'arm_13': np.float64(0.20689655172413793), 'arm_14': np.float64(0.16666666666666666), 'arm_15': np.float64(0.13793103448275862), 'arm_5': np.float64(0.13043478260869565), 'arm_17': np.float64(0.1), 'arm_11': np.float64(0.07692307692307693), 'arm_10': np.float64(0.07142857142857142), 'arm_9': np.float64(0.06666666666666667), 'arm_16': np.float64(0.06666666666666667)}]"
6,6,thompson,True,1,0.05400657653808594,2000,330.78228771432214,"[{'arm_9': np.float64(1.0), 'arm_0': np.float64(0.4769782718087925), 'arm_4': np.float64(0.41903340025123426), 'arm_12': np.float64(0.4163735768002568), 'arm_16': np.float64(0.39790545445602676), 'arm_17': np.float64(0.38452984919375494), 'arm_13': np.float64(0.34158943626010346), 'arm_1': np.float64(0.3107691526410824), 'arm_14': np.float64(0.30745820321203693), 'arm_8': np.float64(0.29726805757741), 'arm_11': np.float64(0.2548523942293561), 'arm_2': np.float64(0.24745715481229996), 'arm_10': np.float64(0.1820531786351039), 'arm_6': np.float64(0.14279030727786968), 'arm_15': np.float64(0.14006944668506272), 'arm_7': np.float64(0.10376472498379208), 'arm_5': np.float64(0.09075455745325167), 'arm_3': np.float64(0.059734273501106716), 'arm_19': np.float64(0.03551754128136986), 'arm_18': np.float64(0.02983109343278123)}]","[{'arm_9': np.float64(0.7331288343558282), 'arm_0': np.float64(0.3408450704225352), 'arm_13': np.float64(0.2930232558139535), 'arm_11': np.float64(0.26548672566371684), 'arm_16': np.float64(0.25287356321839083), 'arm_8': np.float64(0.24166666666666667), 'arm_14': np.float64(0.22641509433962265), 'arm_2': np.float64(0.225), 'arm_1': np.float64(0.2222222222222222), 'arm_12': np.float64(0.1875), 'arm_15': np.float64(0.14705882352941177), 'arm_4': np.float64(0.14285714285714285), 'arm_7': np.float64(0.13636363636363635), 'arm_10': np.float64(0.1111111111111111), 'arm_18': np.float64(0.10714285714285714), 'arm_17': np.float64(0.1), 'arm_5': np.float64(0.08695652173913043), 'arm_6': np.float64(0.0625), 'arm_3': np.float64(0.0625), 'arm_19': np.float64(0.05263157894736842)}]"
7,7,thompson,True,1,0.05371284484863281,2000,335.34585238826025,"[{'arm_13': np.float64(1.0), 'arm_6': np.float64(0.49012170271500205), 'arm_11': np.float64(0.4820083953719683), 'arm_0': np.float64(0.42585915942406993), 'arm_14': np.float64(0.4097221088512893), 'arm_9': np.float64(0.4017869698957214), 'arm_18': np.float64(0.3742004686562144), 'arm_17': np.float64(0.3383061913081323), 'arm_15': np.float64(0.31880261743937455), 'arm_4': np.float64(0.23078073435269159), 'arm_16': np.float64(0.22093447862356036), 'arm_7': np.float64(0.19296504853556812), 'arm_1': np.float64(0.1749362511990908), 'arm_10': np.float64(0.10255818067987016), 'arm_2': np.float64(0.0976085647011728), 'arm_8': np.float64(0.09165235859352933), 'arm_5': np.float64(0.08355625264040717), 'arm_3': np.float64(0.04963822004565094), 'arm_19': np.float64(0.017004829811960998), 'arm_12': np.float64(0.004173930141885884)}]","[{'arm_13': np.float64(0.7272267206477733), 'arm_11': np.float64(0.32604735883424407), 'arm_17': np.float64(0.32222222222222224), 'arm_6': np.float64(0.31297709923664124), 'arm_14': np.float64(0.2962962962962963), 'arm_15': np.float64(0.2803030303030303), 'arm_9': np.float64(0.27927927927927926), 'arm_0': np.float64(0.25), 'arm_18': np.float64(0.2345679012345679), 'arm_1': np.float64(0.22857142857142856), 'arm_16': np.float64(0.20754716981132076), 'arm_4': np.float64(0.175), 'arm_10': np.float64(0.15151515151515152), 'arm_7': np.float64(0.14285714285714285), 'arm_5': np.float64(0.11538461538461539), 'arm_2': np.float64(0.1111111111111111), 'arm_19': np.float64(0.09523809523809523), 'arm_3': np.float64(0.07142857142857142), 'arm_12': np.float64(0.0625), 'arm_8': np.float64(0.0625)}]"
8,8,thompson,True,1,0.05399727821350098,2000,343.41636456129027,"[{'arm_13': np.float64(1.0), 'arm_7': np.float64(0.4933590873381633), 'arm_3': np.float64(0.45513297921939916), 'arm_8': np.float64(0.4488456358498699), 'arm_1': np.float64(0.38479761259328493), 'arm_9': np.float64(0.341877613435681), 'arm_15': np.float64(0.3320391166443391), 'arm_4': np.float64(0.30064149343381), 'arm_18': np.float64(0.29963098456501663), 'arm_12': np.float64(0.26294279698972345), 'arm_11': np.float64(0.2374810018544654), 'arm_6': np.float64(0.22976933901745467), 'arm_17': np.float64(0.2152642443141568), 'arm_16': np.float64(0.18578306835932756), 'arm_0': np.float64(0.16024855183360193), 'arm_14': np.float64(0.12721395029783034), 'arm_19': np.float64(0.06707623632801019), 'arm_5': np.float64(0.033672927954903065), 'arm_10': np.float64(0.025822644776291315), 'arm_2': np.float64(0.014537770608699985)}]","[{'arm_13': np.float64(0.7292197858235594), 'arm_7': np.float64(0.3579175704989154), 'arm_8': np.float64(0.34057971014492755), 'arm_3': np.float64(0.3028169014084507), 'arm_1': np.float64(0.2926829268292683), 'arm_11': np.float64(0.25663716814159293), 'arm_4': np.float64(0.25384615384615383), 'arm_9': np.float64(0.24705882352941178), 'arm_12': np.float64(0.24271844660194175), 'arm_6': np.float64(0.24050632911392406), 'arm_17': np.float64(0.22666666666666666), 'arm_18': np.float64(0.21428571428571427), 'arm_16': np.float64(0.2), 'arm_0': np.float64(0.15789473684210525), 'arm_19': np.float64(0.15151515151515152), 'arm_15': np.float64(0.14814814814814814), 'arm_10': np.float64(0.11538461538461539), 'arm_2': np.float64(0.09523809523809523), 'arm_14': np.float64(0.06666666666666667), 'arm_5': np.float64(0.058823529411764705)}]"
9,9,thompson,True,1,0.05500054359436035,2000,338.814815171708,"[{'arm_17': np.float64(1.0), 'arm_11': np.float64(0.4549743623500158), 'arm_18': np.float64(0.4507682026516965), 'arm_3': np.float64(0.44428926324812207), 'arm_16': np.float64(0.41899863308547863), 'arm_4': np.float64(0.37982871475337293), 'arm_6': np.float64(0.3169553570317249), 'arm_9': np.float64(0.2833151921395527), 'arm_1': np.float64(0.28029230635662067), 'arm_19': np.float64(0.2475504478301213), 'arm_14': np.float64(0.21956202021489613), 'arm_10': np.float64(0.20862877663597462), 'arm_8': np.float64(0.1917369209675005), 'arm_7': np.float64(0.1673184299234845), 'arm_5': np.float64(0.14277800349657516), 'arm_12': np.float64(0.11403398778906482), 'arm_2': np.float64(0.08811422721379802), 'arm_0': np.float64(0.08421366609855757), 'arm_13': np.float64(0.045212700356455526), 'arm_15': np.float64(0.03867622874271437)}]","[{'arm_17': np.float64(0.7223065250379362), 'arm_11': np.float64(0.34181240063593005), 'arm_3': np.float64(0.3370044052863436), 'arm_18': np.float64(0.30078125), 'arm_9': np.float64(0.2796610169491525), 'arm_6': np.float64(0.2465753424657534), 'arm_19': np.float64(0.23809523809523808), 'arm_16': np.float64(0.22727272727272727), 'arm_10': np.float64(0.2222222222222222), 'arm_14': np.float64(0.19230769230769232), 'arm_4': np.float64(0.1836734693877551), 'arm_1': np.float64(0.17857142857142858), 'arm_8': np.float64(0.17777777777777778), 'arm_5': np.float64(0.17647058823529413), 'arm_2': np.float64(0.15151515151515152), 'arm_15': np.float64(0.11538461538461539), 'arm_0': np.float64(0.1111111111111111), 'arm_12': np.float64(0.10526315789473684), 'arm_13': np.float64(0.1), 'arm_7': np.float64(0.058823529411764705)}]"
