Strategy,Arms,Position_mean,Position_std,Exec_Time_mean,Exec_Time_std,Regret_Loss_mean,Regret_Loss_std,Correct_percent_true
RMED,5,1.0,0.0,0.07215127944946284,0.014085721299569365,82.27965597148061,14.51973161459271,100.0
RMED,10,1.0,0.0,0.4702440818150838,0.045427388563733205,187.2277753820078,36.40092028277637,100.0
RMED,20,1.0,0.0,3.6590349117914838,0.23206922710611966,643.853794284357,114.67663568983014,100.0
RMED,50,1.0,0.0,43.780819058418274,1.1114203829503884,2620.1558279860305,98.63941264235294,100.0
RMED,100,1.0,0.0,443.0998188018799,5.7009166266713995,6016.2517626720655,106.37609941875158,100.0
RMED,200,1.0666666666666667,0.3651483716701107,28.41551316579183,0.3867803227005633,13983.692035672324,203.77388912013825,96.66666666666667
double_thompson,5,1.0,0.0,0.010721532503763795,0.0005658126751407204,26.628523289166093,16.83426167083293,100.0
double_thompson,10,1.0,0.0,0.028159260749816853,0.0009795175829195226,77.4043377348517,41.58963192576599,100.0
double_thompson,20,1.0,0.0,0.0873644908269246,0.007078050691998032,210.57154723490478,71.69919758022624,100.0
double_thompson,50,1.0,0.0,0.42614540259043376,0.010178717482728873,672.1851938778341,146.98316056798134,100.0
double_thompson,100,1.0,0.0,3.2657613515853883,0.22020147319817873,1570.1653244796246,292.80683682639847,100.0
double_thompson,200,1.0,0.0,6.108671005566915,0.04792579418072314,3599.94354740886,324.3116932781833,100.0
epsilon_greedy,5,1.0,0.0,0.005600237846374464,0.0005625727267310935,98.86945087098249,13.293861541814815,100.0
epsilon_greedy,10,1.0,0.0,0.01081717014312738,0.0005528914024571372,212.44725530711685,12.12435789647787,100.0
epsilon_greedy,20,1.0,0.0,0.02351360321044917,0.006701645518810087,474.4443947601018,85.15022090257278,100.0
epsilon_greedy,50,1.0,0.0,0.05604755878448482,0.001618919098340044,1223.1884653767945,167.66029824733914,100.0
epsilon_greedy,100,2.7666666666666666,9.676431849257936,0.30864187876383464,0.05800328607109331,2489.868185026505,603.6505225830333,96.66666666666667
epsilon_greedy,200,1.0,0.0,0.3009140094121297,0.004913183480332529,5264.71011149831,1265.4881615146162,100.0
halving_battle,5,1.3,0.952311163288627,0.003945414225260377,0.002383643701958999,88.6420850766888,74.38056075945482,90.0
halving_battle,10,1.4333333333333333,1.69549775690744,0.0072120110193887865,0.004132212217087012,258.82229559971904,177.92138976804986,93.33333333333333
halving_battle,20,2.0,3.1840117830313943,0.019812862078348738,0.008228266597197094,881.3706537467946,255.04288039977627,90.0
halving_battle,50,2.5,6.647530005378974,0.05007957617441808,0.007451127274940479,2803.0688243741774,125.46633190845193,93.33333333333333
halving_battle,100,3.566666666666667,9.873976012673445,0.26359859307607014,0.022127960430366946,5921.851838870773,132.12058848870794,93.33333333333333
halving_battle,200,6.033333333333333,27.56870206109336,0.24486807982126868,0.00558773876842311,12039.800493084318,245.44730956463812,96.66666666666667
max_win_rate,5,1.5,1.1670771035014103,0.005374264717101997,0.0004952851489173122,117.98581205643535,75.49120153310052,83.33333333333334
max_win_rate,10,3.2,2.9873295651860183,0.01074329217274978,0.0006109780098153188,373.2588845010743,230.41826654990913,56.666666666666664
max_win_rate,20,6.2,7.068141247149435,0.023215953509012805,0.006701841614519221,702.2139450783399,412.37064167821643,56.666666666666664
max_win_rate,50,12.766666666666667,18.20322694646111,0.05696451663970944,0.008520693266894188,1537.2415555001307,918.8865125080326,66.66666666666666
max_win_rate,100,18.333333333333332,28.884231867486328,0.3269488334655761,0.03645495987137423,2973.7064752734013,1736.247902118348,70.0
max_win_rate,200,58.46666666666667,71.08214448346236,0.3096210877100626,0.0057314226539507875,7230.754310695261,3565.428555349922,50.0
random,5,1.0,0.0,0.004932673772176057,0.0004597373011998843,234.2121941062761,19.933964273156736,100.0
random,10,1.0,0.0,0.009481676419575967,0.0006103155978839377,584.4077617140297,29.75906730807079,100.0
random,20,1.0,0.0,0.02017540931701655,0.0007592824149977155,1299.6977371537544,44.46450333345082,100.0
random,50,1.0,0.0,0.051113637288411416,0.011521913179539378,3392.9558538258725,109.27465192242704,100.0
random,100,1.0333333333333334,0.18257418583505536,0.24214089711507158,0.04461651654255391,6954.864975414369,120.75886680307555,96.66666666666667
random,200,1.0666666666666667,0.3651483716701107,0.23906980355580645,0.009512526931069389,13950.848292938806,196.67525201094233,96.66666666666667
thompson,5,1.0,0.0,0.008905911445617623,0.0026956300189427858,83.91060590085485,11.183457003359562,100.0
thompson,10,1.0,0.0,0.020230197906494093,0.0037149205048444766,175.1553978100248,25.143742715709994,100.0
thompson,20,1.0,0.0,0.05512841542561844,0.006852073051267467,359.4304144269271,47.30473056709682,100.0
thompson,50,1.0,0.0,0.2457485755284627,0.01522336718839123,949.7472212188806,128.8046592157376,100.0
thompson,100,1.0,0.0,1.8047175645828246,0.12816011776683825,1922.2929670172937,123.76649246418742,100.0
thompson,200,1.0,0.0,3.2390198866526285,0.046461626989755825,4027.9605977468095,292.8101888189062,100.0
ucb,5,1.0,0.0,0.009250267346699986,0.003962841973258912,78.93955712227407,11.093428302170938,100.0
ucb,10,1.0,0.0,0.014832361539204857,0.0005395748632994648,180.31554797205624,21.976532708344244,100.0
ucb,20,1.0,0.0,0.030675164858500113,0.0010193084805393716,415.2491532133932,47.62546088834759,100.0
ucb,50,1.0,0.0,0.07943526903788246,0.01098248619620972,1473.2457491617722,126.96061814490682,100.0
ucb,100,1.0,0.0,0.4476647853851318,0.0032099977493479396,3816.148158888697,293.8852666909647,100.0
ucb,200,1.0,0.0,0.39201534589131676,0.006080902988254988,9502.594841018448,446.67944230076574,100.0
